JINNAH PG MEDICAL HOSPITAL,021-399201300,Rafiqui ; sarwar shaheed Rd  ; Karachi cantonment ; Karachi,100
CIVIL HOSPITAL,021-399215740,Dow University campus ; mission Road ; new labour colony ; nawakwara ; Karachi,200
INDUS HOSPITAL,021-35112709,Plot C-76 ; sector 31/5 Opposite ; Crossing ; Darussalam Society Sector 39  korang ;Karachi,1500
AKUH,021-111911911,National Stadium Rd ; Aga khan University Hospital ; Karachi,1500
Ziauddin Hospital,021-35862937,4/B Shahrah-e-Ghalib Rd ; Block 6 Clifton ; Karachi,200
